Cruise,Station,Cast,Niskin_#,Depth,Lat,Lon,Bottle_#,Sample_date,Run_date,Thio_Temp(degC),Thio_Density,M(Thio tL),M(Thio 20C),End_Point,Vol_KIO3,N_KIO3,Std_Tit,Blk_Tit,Vol_Reag,Bot_Vol(ml),O2[uM],Draw_Temp(degC),Salinity,SW_density,O2[umol/kg],uLperst,uLoffset,slope,Speed,Wait,b,m,mse1,b.1,m2,mse2,None
ANA13B,50,1,1,400,lat,lon,39,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1116.02,9.986,0.01,713.93,3.345,2,138.363,285.84,3.241,33.314,1.027,278.456,0.2514,-1.3,4.5,0.7,2147483647,256.19,-0.229531,0.00163,0.01,0,0,nan
ANA13B,50,1,1,400,lat,lon,27,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1131,9.986,0.01,713.93,3.345,2,140.133,285.984,3.241,33.314,1.027,278.596,0.2514,-1.3,4.5,0.7,2147483647,274.562,-0.242747,0.0068989,13.6003,-0.012,6e-06,nan
ANA13B,50,1,4,300,lat,lon,24,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1145.52,9.986,0.01,713.93,3.345,2,143.259,283.263,3.241,33.314,1.027,275.946,0.2514,-1.3,4.5,0.7,2147483647,269.155,-0.234943,0.0019704,13.7713,-0.012,6e-06,nan
ANA13B,50,1,4,300,lat,lon,29,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1161.49,9.986,0.01,713.93,3.345,2,144.937,283.859,3.241,33.314,1.027,276.526,0.2514,-1.3,4.5,0.7,2147483647,278.931,-0.240127,0.0008357,13.9653,-0.012,6e-06,nan
ANA13B,50,1,7,200,lat,lon,35,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1141.09,9.986,0.01,713.93,3.345,2,143.157,282.366,3.241,33.314,1.027,275.072,0.2514,-1.3,4.5,0.7,2147483647,254.574,-0.223057,0.0045677,9.14952,-0.008,8e-06,nan
ANA13B,50,1,7,200,lat,lon,92,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1129.27,9.986,0.01,713.93,3.345,2,141.7,282.341,3.241,33.314,1.027,275.048,0.2514,-1.3,4.5,0.7,2147483647,301.518,-0.26697,0.0022885,9.05552,-0.008,8e-06,nan
ANA13B,50,1,10,120,lat,lon,91,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1073.39,9.986,0.01,713.93,3.345,2,139.706,272.187,3.241,33.314,1.027,265.156,0.2514,-1.3,4.5,0.7,2147483647,235.843,-0.219746,0.0117126,0.01,0,0,nan
ANA13B,50,1,10,120,lat,lon,31,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1101.88,9.986,0.01,713.93,3.345,2,142.87,273.172,3.241,33.314,1.027,266.115,0.2514,-1.3,4.5,0.7,2147483647,234.327,-0.212629,0.0011215,0.01,0,0,nan
ANA13B,50,1,13,80,lat,lon,84,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1143.33,9.986,0.01,713.93,3.345,2,142.95,283.339,3.241,33.314,1.027,276.019,0.2514,-1.3,4.5,0.7,2147483647,222.64,-0.194715,0.0010251,9.16552,-0.008,8e-06,nan
ANA13B,50,1,13,80,lat,lon,84,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1146.82,9.986,0.01,713.93,3.345,2,142.95,284.208,3.241,33.314,1.027,276.866,0.2514,-1.3,4.5,0.7,2147483647,257.529,-0.224534,0.0013172,0.01,0,0,nan
ANA13B,50,1,16,60,lat,lon,94,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1354.14,9.986,0.01,713.93,3.345,2,140.676,341.341,3.241,33.314,1.027,332.524,0.2514,-1.3,4.5,0.7,2147483647,267.788,-0.197741,0.000483,21.689,-0.016,1e-05,nan
ANA13B,50,1,16,60,lat,lon,88,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1371.16,9.986,0.01,713.93,3.345,2,142.887,340.225,3.241,33.314,1.027,331.436,0.2514,-1.3,4.5,0.7,2147483647,314.509,-0.229352,0.0011251,16.4803,-0.012,6e-06,nan
ANA13B,50,1,22,0,lat,lon,23,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1377.03,9.986,0.01,713.93,3.345,2,141.308,345.56,3.241,33.314,1.027,336.633,0.2514,-1.3,4.5,0.7,2147483647,310.639,-0.225572,0.0007261,11.0355,-0.008,8e-06,nan
ANA13B,50,1,22,0,lat,lon,75,2023-01-27,2023-01-28,24.2,0.99725,0.14053,0.1404,1342.41,9.986,0.01,713.93,3.345,2,137.943,345.175,3.241,33.314,1.027,336.258,0.2514,-1.3,4.5,0.7,2147483647,379.561,-0.282729,0.0030551,16.1353,-0.012,6e-06,nan
