Station,Depth,Salinity,O2[umol/kg]
1,1500,33.314,193.749
1,1500,33.314,193.304
1,1000,33.314,183.187
1,1000,33.314,185.325
1,800,33.314,176.997
1,800,33.314,176.979
1,600,33.314,171.13
1,600,33.314,170.952
1,400,33.314,167.168
1,400,33.314,167.374
1,200,33.314,213.866
1,200,33.314,213.785
1,100,33.314,318.622
1,100,33.314,318.36
1,75,33.314,325.456
1,75,33.314,325.632
1,50,33.314,327.213
1,50,33.314,326.73
1,0,33.314,328.364
1,0,33.314,327.654
41,282,33.314,253.049
41,282,33.314,252.719
41,200,33.314,230.128
41,200,33.314,230.668
41,100,33.314,264.934
41,100,33.314,264.884
41,50,33.314,278.902
41,50,33.314,278.823
41,35,33.314,333.425
41,35,33.314,333.752
41,0,33.314,351.912
41,0,33.314,351.32
50,400,33.314,278.456
50,400,33.314,278.596
50,300,33.314,275.946
50,300,33.314,276.526
50,200,33.314,275.072
50,200,33.314,275.048
50,120,33.314,265.156
50,120,33.314,266.115
50,80,33.314,276.019
50,80,33.314,276.866
50,60,33.314,332.524
50,60,33.314,331.436
50,0,33.314,336.633
50,0,33.314,336.258
61,538,34.079,286.986
61,538,34.079,285.742
61,400,34.079,277.57
61,400,34.079,277.308
61,200,34.079,262.712
61,200,34.079,263.136
61,100,34.079,278.772
61,100,34.079,278.417
61,60,34.079,287.653
61,60,34.079,288.055
61,20,34.079,341.283
61,20,34.079,341.118
61,0,34.079,344.07
61,0,34.079,345.21
80,532,34.079,279.333
80,532,34.079,280.675
80,400,34.079,282.102
80,400,34.079,281.821
80,300,34.079,280.676
80,300,34.079,280.49
80,200,34.079,280.372
80,100,34.079,278.858
80,100,34.079,278.833
80,70,34.079,289.905
80,70,34.079,289.295
80,35,34.079,339.432
80,35,34.079,340.559
80,0,34.079,363.668
80,0,34.079,363.129
89,3570,33.426,207.896
89,3570,33.426,208.867
89,3000,33.426,208.247
89,3000,33.426,206.583
89,2000,33.426,201.155
89,2000,33.426,202.534
89,1000,33.426,191.406
89,1000,33.426,192.477
89,700,33.426,182.535
89,700,33.426,183.812
89,450,33.426,177.884
89,450,33.426,177.781
89,250,33.426,230.951
89,250,33.426,229.405
89,150,33.426,279.482
89,150,33.426,279.257
89,100,33.426,287.6
89,100,33.426,285.743
89,30,33.426,296.753
89,30,33.426,299.572
89,0,33.426,358.873
89,0,33.426,361.409
103,632,33.911,274.001
103,632,33.911,275.212
103,500,33.911,281.983
103,500,33.911,282.309
103,350,33.911,284.755
103,350,33.911,286.03
103,200,33.911,283.241
103,200,33.911,282.737
103,100,33.911,285.897
103,100,33.911,286.647
103,60,33.911,286.457
103,60,33.911,287.394
103,20,33.911,354.739
103,20,33.911,354.527
103,0,33.911,357.435
103,0,33.911,356.026
