Station,"Depth [salt water, m]",Niskin_#,"Oxygen, Winkler [umol/kg]","Oxygen, SBE 43 [umol/kg]"
61,2.616,22,344.49,361.177
61,2.616,22,346.822,361.177
61,19.903,12,341.796,356.414
61,19.903,12,342.242,356.414
61,60.174,10,287.982,306.896
61,60.174,10,289.428,306.896
61,60.174,10,289.428,306.896
61,100.165,8,278.551,298.448
61,100.165,8,278.709,298.448
61,200.555,6,263.949,282.007
61,200.555,6,262.995,282.007
61,400.322,4,278.855,296.758
61,400.322,4,276.93,296.758
61,538.78,2,286.032,304.161
61,538.78,2,286.397,304.161
