Station,"Depth [salt water, m]",Niskin_#,"Oxygen, Winkler [umol/kg]","Oxygen, SBE 43 [umol/kg]"
1,5.972,21,328.997,339.947
1,5.972,21,330.181,339.947
1,49.697,19,328.382,339.253
1,49.697,19,327.091,339.253
1,76.038,15,325.977,337.824
1,76.038,15,326.71,337.824
1,100.72,13,319.522,332.559
1,100.72,13,318.687,332.559
1,199.662,11,214.15,231.156
1,199.662,11,213.848,231.156
1,400.451,9,166.952,186.731
1,400.451,9,167.763,186.731
1,601.327,7,170.584,190.645
1,601.327,7,170.447,190.645
1,800.507,5,176.248,196.593
1,800.507,5,177.191,196.593
1,1001.74,3,184.424,203.087
1,1001.74,3,183.391,203.087
1,1502.42,1,192.779,212.585
1,1502.42,1,192.139,212.585
41,2.791,23,352.195,368.122
41,2.791,23,352.231,368.122
41,35.235,19,333.603,360.145
41,35.235,19,335.138,360.145
41,50.712,15,278.519,298.43
41,50.712,15,278.953,298.43
41,99.947,11,266.101,283.122
41,99.947,11,264.662,283.122
41,200.082,7,231.234,246.563
41,200.082,7,231.234,246.563
41,200.082,7,230.393,246.563
41,283.347,3,252.342,267.101
41,283.347,3,253.433,267.101
50,3.054,22,336.978,354.951
50,3.054,22,338.204,354.951
50,60.109,16,333.661,349.086
50,60.109,16,333.045,349.086
50,80.063,13,277.419,291.025
50,80.063,13,278.27,291.025
50,119.611,10,265.996,284.925
50,119.611,10,267.241,284.925
50,199.553,7,274.714,292.689
50,199.553,7,275.766,292.689
50,299.199,4,275.647,292.575
50,299.199,4,277.54,292.575
50,400.233,1,278.239,291.118
50,400.233,1,277.905,291.118
61,2.616,22,344.49,361.177
61,2.616,22,346.822,361.177
61,19.903,12,341.796,356.414
61,19.903,12,342.242,356.414
61,60.174,10,287.982,306.896
61,60.174,10,289.428,306.896
61,60.174,10,289.428,306.896
61,100.165,8,278.551,298.448
61,100.165,8,278.709,298.448
61,200.555,6,263.949,282.007
61,200.555,6,262.995,282.007
61,400.322,4,278.855,296.758
61,400.322,4,276.93,296.758
61,538.78,2,286.032,304.161
61,538.78,2,286.397,304.161
80,2.945,24,365.987,382.064
80,2.945,24,363.454,382.064
80,34.918,21,339.308,361.796
80,34.918,21,342.844,361.796
80,70.042,18,290.444,313.475
80,70.042,18,289.082,313.475
80,99.517,15,279.312,303.23
80,99.517,15,279.88,303.23
80,199.992,12,280.569,300.796
80,299.514,9,281.758,302.809
80,299.514,9,281.352,302.809
80,399.673,6,283.205,303.324
80,399.673,6,281.6,303.324
80,532.829,3,280.149,298.971
80,532.829,3,280.448,298.971
89,3.017,24,362.079,376.31
89,3.017,24,360.568,376.31
89,29.464,22,301.042,318.82
89,29.464,22,296.975,318.82
89,100.08,18,287.191,310.309
89,100.08,18,287.882,310.309
89,149.913,16,280.502,304.55
89,149.913,16,280.435,304.55
89,250.167,14,230.05,255.051
89,250.167,14,230.805,255.051
89,450.158,12,177.641,201.926
89,450.158,12,177.856,201.926
89,700.004,10,182.054,208.317
89,700.004,10,183.991,208.317
89,1000.19,8,191.731,215.886
89,1000.19,8,190.314,215.886
89,1999.88,6,200.627,230.453
89,1999.88,6,200.306,230.453
89,2999.86,4,203.771,239.191
89,2999.86,4,206.645,239.191
89,3570.88,2,206.426,243.576
89,3570.88,2,204.315,243.576
103,1.998,24,359.102,375.49
103,1.998,24,356.555,375.49
103,19.848,21,355.133,372.728
103,19.848,21,356.144,372.728
103,59.984,18,286.791,308.915
103,59.984,18,288.244,308.915
103,99.9,15,286.141,308.59
103,99.9,15,287.93,308.59
103,200.048,12,282.848,305.814
103,200.048,12,282.866,305.814
103,350.267,9,285.866,307.316
103,350.267,9,285.646,307.316
103,499.64,6,283.145,303.21
103,499.64,6,281.782,303.21
103,631.902,3,272.987,295.759
103,631.902,3,275.739,295.759
