Station,Latitude [deg],Longitude [deg],Niskin_#,"Depth [salt water, m]","Pressure, Digiquartz [db]",Bottle_#,"Temperature [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen, SBE 43 [umol/kg]","Oxygen, Winkler [umol/kg]","O2[umol/kg], checked",O2[umol/kg],Date_Time
61,-76.1,-175,2,538.78,545.179,83,-1.9468,-1.9598,34.717,304.161,286.032,286.207,286.986,Jan-29-2023 11:40:02
61,-76.1,-175,2,538.78,545.179,48,-1.9468,-1.9598,34.717,304.161,286.397,286.572,285.742,Jan-29-2023 11:40:02
61,-76.1,-175,4,400.322,404.94,49,-1.8289,-1.8382,34.5275,296.758,278.855,278.98,277.57,Jan-29-2023 11:43:52
61,-76.1,-175,4,400.322,404.94,52,-1.8289,-1.8382,34.5275,296.758,276.93,277.054,277.308,Jan-29-2023 11:43:52
61,-76.1,-175,6,200.555,202.77,63,-1.2963,-1.3014,34.4179,282.007,263.949,264.038,262.712,Jan-29-2023 11:49:00
61,-76.1,-175,6,200.555,202.77,32,-1.2963,-1.3014,34.4179,282.007,262.995,263.084,263.136,Jan-29-2023 11:49:00
61,-76.1,-175,8,100.165,101.246,58,-1.6184,-1.6206,34.3031,298.448,278.551,278.62,278.772,Jan-29-2023 11:53:16
61,-76.1,-175,8,100.165,101.246,61,-1.6184,-1.6206,34.3031,298.448,278.709,278.778,278.417,Jan-29-2023 11:53:16
61,-76.1,-175,10,60.174,60.817,21,-1.6771,-1.6783,34.2434,306.896,287.982,288.039,287.653,Jan-29-2023 11:55:23
61,-76.1,-175,10,60.174,60.817,62,-1.6771,-1.6783,34.2434,306.896,289.428,289.486,288.055,Jan-29-2023 11:55:23
61,-76.1,-175,10,60.174,60.817,62,-1.6771,-1.6783,34.2434,306.896,289.428,289.486,288.055,Jan-29-2023 11:55:23
61,-76.1,-175,12,19.903,20.114,53,-0.7156,-0.7162,34.1753,356.414,341.796,341.837,341.283,Jan-29-2023 11:57:21
61,-76.1,-175,12,19.903,20.114,60,-0.7156,-0.7162,34.1753,356.414,342.242,342.283,341.118,Jan-29-2023 11:57:21
61,-76.1,-175,22,2.616,2.643,47,-0.6584,-0.6584,34.1579,361.177,344.49,344.526,344.07,Jan-29-2023 12:01:25
61,-76.1,-175,22,2.616,2.643,56,-0.6584,-0.6584,34.1579,361.177,346.822,346.859,345.21,Jan-29-2023 12:01:25
