Cruise,Station,Cast,Niskin_#,Depth,Lat,Lon,Bottle_#,Sample_date,Run_date,Thio_Temp(degC),Thio_Density,M(Thio tL),M(Thio 20C),End_Point,Vol_KIO3,N_KIO3,Std_Tit,Blk_Tit,Vol_Reag,Bot_Vol(ml),O2[uM],Draw_Temp(degC),Salinity,SW_density,O2[umol/kg],uLperst,uLoffset,slope,Speed,Wait,b,m,mse1,b.1,m2,mse2,None
ANA13B,89,1,2,3570,lat,lon,83,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,858.63,9.986,0.01,720.122,1.444,2,141.004,213.46,1.254,33.426,1.027,207.896,0.2514,-1.3,4.5,0.7,2147483647,163.853,-0.190782,0.0018124,6.8956,-0.008,8e-06,nan
ANA13B,89,1,2,3570,lat,lon,48,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,873.68,9.986,0.01,720.122,1.444,2,142.793,214.457,1.254,33.426,1.027,208.867,0.2514,-1.3,4.5,0.7,2147483647,147.763,-0.169091,0.000926,7.0096,-0.008,8e-06,nan
ANA13B,89,1,4,3000,lat,lon,49,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,847.6,9.986,0.01,720.122,1.444,2,138.979,213.821,1.254,33.426,1.027,208.247,0.2514,-1.3,4.5,0.7,2147483647,172.01,-0.202888,0.0010593,6.8076,-0.008,8e-06,nan
ANA13B,89,1,4,3000,lat,lon,52,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,835.86,9.986,0.01,720.122,1.444,2,138.162,212.112,1.254,33.426,1.027,206.583,0.2514,-1.3,4.5,0.7,2147483647,146.08,-0.174701,0.0004147,8.62177,-0.0102857,4.3e-06,nan
ANA13B,89,1,6,2000,lat,lon,63,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,830.05,9.986,0.01,720.122,1.444,2,140.86,206.538,1.254,33.426,1.027,201.155,0.2514,-1.3,4.5,0.7,2147483647,174.125,-0.209804,0.0023791,6.6596,-0.008,8e-06,nan
ANA13B,89,1,6,2000,lat,lon,32,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,843.37,9.986,0.01,720.122,1.444,2,142.137,207.955,1.254,33.426,1.027,202.534,0.2514,-1.3,4.5,0.7,2147483647,149.014,-0.176636,0.0004765,10.1474,-0.012,6e-06,nan
ANA13B,89,1,8,1000,lat,lon,58,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,802.25,9.986,0.01,720.122,1.444,2,143.023,196.529,1.254,33.426,1.027,191.406,0.2514,-1.3,4.5,0.7,2147483647,135.428,-0.168778,0.0027572,9.6514,-0.012,6e-06,nan
ANA13B,89,1,8,1000,lat,lon,61,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,802.49,9.986,0.01,720.122,1.444,2,142.281,197.628,1.254,33.426,1.027,192.477,0.2514,-1.3,4.5,0.7,2147483647,127.608,-0.158952,0.0020897,9.6554,-0.012,6e-06,nan
ANA13B,89,1,10,700,lat,lon,21,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,761.12,9.986,0.01,720.122,1.444,2,142.261,187.42,1.254,33.426,1.027,182.535,0.2514,-1.3,4.5,0.7,2147483647,150.916,-0.198254,0.0012825,9.1624,-0.012,6e-06,nan
ANA13B,89,1,10,700,lat,lon,62,2023-02-03,2023-02-05,24.2,0.99725,0.13895,0.13882,763.71,9.986,0.01,720.122,1.444,2,141.763,188.731,1.254,33.426,1.027,183.812,0.2514,-1.3,4.5,0.7,2147483647,130.648,-0.171006,0.0026457,6.1316,-0.008,8e-06,nan
