Cruise,Station,Cast,Niskin_#,Depth,Lat,Lon,Bottle_#,Sample_date,Run_date,Thio_Temp(degC),Thio_Density,M(Thio tL),M(Thio 20C),End_Point,Vol_KIO3,N_KIO3,Std_Tit,Blk_Tit,Vol_Reag,Bot_Vol(ml),O2[uM],Draw_Temp(degC),Salinity,SW_density,O2[umol/kg],uLperst,uLoffset,slope,Speed,Wait,b,m,mse1,b.1,m2,mse2,None
ANA13B,103,1,3,632,lat,lon,83,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1128.93,9.986,0.01,719.066,2.1,2,141.004,281.451,0.665,33.911,1.027,274.001,0.2514,-1.3,4.5,0.7,2147483647,229.341,-0.203117,0.0005581,0.01,0,0,nan
ANA13B,103,1,3,632,lat,lon,48,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1148.44,9.986,0.01,719.066,2.1,2,142.793,282.696,0.665,33.911,1.027,275.212,0.2514,-1.3,4.5,0.7,2147483647,208.169,-0.181264,0.0033066,0.01,0,0,nan
ANA13B,103,1,6,500,lat,lon,49,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1144.83,9.986,0.01,719.066,2.1,2,138.979,289.65,0.665,33.911,1.027,281.983,0.2514,-1.3,4.5,0.7,2147483647,227.014,-0.198252,0.0022448,76.416,-0.0666667,0.0004667,nan
ANA13B,103,1,6,500,lat,lon,52,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1139.34,9.986,0.01,719.066,2.1,2,138.162,289.985,0.665,33.911,1.027,282.309,0.2514,-1.3,4.5,0.7,2147483647,243.616,-0.213802,0.0011092,9.13552,-0.008,8e-06,nan
ANA13B,103,1,9,350,lat,lon,63,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1171.86,9.986,0.01,719.066,2.1,2,140.86,292.498,0.665,33.911,1.027,284.755,0.2514,-1.3,4.5,0.7,2147483647,248.947,-0.212397,0.0010518,9.39552,-0.008,8e-06,nan
ANA13B,103,1,9,350,lat,lon,32,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1187.87,9.986,0.01,719.066,2.1,2,142.137,293.807,0.665,33.911,1.027,286.03,0.2514,-1.3,4.5,0.7,2147483647,226.975,-0.191063,0.0006591,9.52352,-0.008,8e-06,nan
ANA13B,103,1,12,200,lat,lon,58,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1183.74,9.986,0.01,719.066,2.1,2,143.023,290.942,0.665,33.911,1.027,283.241,0.2514,-1.3,4.5,0.7,2147483647,234.686,-0.198215,0.0006863,14.2303,-0.012,6e-06,nan
ANA13B,103,1,12,200,lat,lon,61,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1175.45,9.986,0.01,719.066,2.1,2,142.281,290.425,0.665,33.911,1.027,282.737,0.2514,-1.3,4.5,0.7,2147483647,207.932,-0.176871,0.0063146,14.1343,-0.012,6e-06,nan
ANA13B,103,1,15,100,lat,lon,21,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1188.37,9.986,0.01,719.066,2.1,2,142.261,293.671,0.665,33.911,1.027,285.897,0.2514,-1.3,4.5,0.7,2147483647,236.038,-0.198588,0.0002671,9.52752,-0.008,8e-06,nan
ANA13B,103,1,15,100,lat,lon,62,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1187.26,9.986,0.01,719.066,2.1,2,141.763,294.441,0.665,33.911,1.027,286.647,0.2514,-1.3,4.5,0.7,2147483647,220.953,-0.186066,0.0007128,9.51952,-0.008,8e-06,nan
ANA13B,103,1,18,60,lat,lon,53,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1224.7,9.986,0.01,719.066,2.1,2,146.282,294.246,0.665,33.911,1.027,286.457,0.2514,-1.3,4.5,0.7,2147483647,274.35,-0.223996,0.0007369,14.0236,-0.0114286,7.1e-06,nan
ANA13B,103,1,18,60,lat,lon,60,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1196.81,9.986,0.01,719.066,2.1,2,142.525,295.209,0.665,33.911,1.027,287.394,0.2514,-1.3,4.5,0.7,2147483647,218.807,-0.182807,0.0044433,9.59552,-0.008,8e-06,nan
ANA13B,103,1,21,20,lat,lon,47,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1494.05,9.986,0.01,719.066,2.1,2,144.224,364.385,0.665,33.911,1.027,354.739,0.2514,-1.3,4.5,0.7,2147483647,270.294,-0.180887,0.003312,0.02,0,0,nan
ANA13B,103,1,21,20,lat,lon,56,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1487.77,9.986,0.01,719.066,2.1,2,143.709,364.167,0.665,33.911,1.027,354.527,0.2514,-1.3,4.5,0.7,2147483647,206.503,-0.138764,0.002823,0.02,0,0,nan
ANA13B,103,1,24,0,lat,lon,57,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1489.31,9.986,0.01,719.066,2.1,2,142.702,367.154,0.665,33.911,1.027,357.435,0.2514,-1.3,4.5,0.7,2147483647,217.681,-0.146104,0.0021097,79.5948,-0.0533798,4.98e-05,nan
ANA13B,103,1,24,0,lat,lon,24,2023-02-06,2023-02-07,24.2,0.99725,0.13928,0.13915,1489.31,9.986,0.01,719.066,2.1,2,143.259,365.707,0.665,33.911,1.027,356.026,0.2514,-1.3,4.5,0.7,2147483647,217.681,-0.146104,0.0021097,79.5948,-0.0533798,4.98e-05,nan
