Date_Time,Bottle,Month,Day,Year,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]",Scan,"Time, Elapsed [seconds]","Depth [salt water, m]","Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Pressure, Digiquartz [db]",Conductivity [mS/cm],"Conductivity, 2 [mS/cm]",Specific Conductance [uS/cm],"Oxygen, SBE 43 [mg/l]","Oxygen, SBE 43 [umol/kg]","Oxygen Saturation, Weiss [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]",Latitude [deg],Longitude [deg],Julian Days,Time,"Scan, sde","Elapsed, sde","Depth, sde","Temperature, sde","Temperature, 2, sde","Potental Temperature, sde","Pressure, sde","Conductivity, sde","Conductivity, 2, sde","Specific Conductance, sde","Oxygen [mg/l], sde","Oxygen [umol/kg], sde","Weiss [ml/l], sde","Beam Attenuation, sde","Fluorescence, sde","Latitude, sde","Longitude, sde","Julian Days, sde"
Jan-25-2023 22:20:33,1,Jan,25,2023,34.5803,34.5821,12302,512.542,282.727,-1.0561,-1.056,-1.0643,285.891,27.9576,27.959,58382.1,8.7766,266.85,8.30008,0.0263,0.0701,-74.9,175.5,25.9309,22:20:33,14,0.595,0.099,0.0002,0.0005,0.0002,0.1,0.000228,0.000388,0.459,0.0045,0.137,5e-05,0.0013,0.0145,0,1e-05,6.877e-06
Jan-25-2023 22:20:47,2,Jan,25,2023,34.5803,34.5822,12629,526.167,283.151,-1.0558,-1.056,-1.064,286.32,27.958,27.9592,58382.2,8.7911,267.29,8.30002,0.0263,0.0689,-74.9,175.5,25.9311,22:20:47,14,0.595,0.065,0.0002,0.0004,0.0002,0.065,0.000202,0.000273,0.493,0.0043,0.131,4e-05,0.001,0.0143,0,1e-05,6.91e-06
Jan-25-2023 22:20:55,3,Jan,25,2023,34.5803,34.5821,12834,534.708,283.347,-1.0561,-1.0559,-1.0643,286.518,27.9579,27.9593,58382.6,8.7849,267.101,8.30008,0.0277,0.0772,-74.9,175.5,25.9312,22:20:55,14,0.595,0.093,0.0001,0.0003,0.0001,0.094,0.00017,0.000272,0.404,0.0054,0.163,2e-05,0.0021,0.0203,0,1e-05,6.855e-06
Jan-25-2023 22:21:05,4,Jan,25,2023,34.5803,34.5821,13066,544.375,283.114,-1.0559,-1.0559,-1.0641,286.283,27.9579,27.9592,58382.3,8.7799,266.951,8.30005,0.0261,0.0671,-74.9,175.5,25.9313,22:21:05,14,0.595,0.112,0.0004,0.0003,0.0004,0.114,0.000306,0.000235,0.532,0.0113,0.345,8e-05,0.0016,0.0136,0,1e-05,6.9647e-06
Jan-25-2023 22:23:00,5,Jan,25,2023,34.5472,34.5488,15820,659.125,200.402,-0.3268,-0.3336,-0.3337,202.605,28.5112,28.5066,57777.8,8.1526,247.891,8.14055,0.0115,0.0754,-74.9,175.5,25.9326,22:23:00,14,0.595,0.044,0.0001,0.0051,0.0001,0.045,0.000208,0.004001,0.428,0.0182,0.554,3e-05,0.0007,0.0179,0,1e-05,6.8439e-06
Jan-25-2023 22:23:12,6,Jan,25,2023,34.5481,34.5499,16120,671.625,200.455,-0.3292,-0.3317,-0.3361,202.658,28.5099,28.5091,57780.8,8.1232,246.998,8.14102,0.0111,0.0635,-74.9,175.5,25.9328,22:23:12,14,0.595,0.065,0.0006,0.0027,0.0006,0.066,0.000631,0.002054,0.527,0.0126,0.383,0.00014,0.001,0.0115,0,1e-05,6.91e-06
Jan-25-2023 22:23:23,7,Jan,25,2023,34.5484,34.5502,16389,682.833,200.082,-0.3313,-0.3325,-0.3382,202.28,28.5081,28.5085,57782.2,8.1089,246.563,8.14147,0.0101,0.1735,-74.9,175.5,25.9329,22:23:23,14,0.595,0.142,0.0007,0.0013,0.0007,0.143,0.000724,0.001266,0.689,0.0075,0.229,0.00016,0.0008,0.0572,0,1e-05,6.8328e-06
Jan-25-2023 22:23:31,8,Jan,25,2023,34.5485,34.5505,16564,690.125,200.618,-0.3409,-0.3373,-0.3478,202.822,28.5003,28.5049,57788.9,8.1327,247.285,8.14355,0.0101,0.0665,-74.9,175.5,25.933,22:23:31,14,0.595,0.048,0.0021,0.0017,0.0021,0.049,0.001879,0.001528,1.829,0.007,0.213,0.00046,0.0006,0.0134,0,1e-05,6.921e-06
Jan-25-2023 22:25:56,9,Jan,25,2023,34.384,34.386,20049,835.333,99.935,-1.4796,-1.4779,-1.4819,101.008,27.3755,27.3782,58196,9.3157,283.28,8.40773,0.0187,0.1663,-74.9,175.5,25.9347,22:25:56,14,0.595,0.183,0.001,0.0007,0.001,0.185,0.000824,0.000462,1.142,0.0033,0.099,0.00022,0.0034,0.0536,0,1e-05,6.866e-06
Jan-25-2023 22:26:06,10,Jan,25,2023,34.3834,34.385,20282,845.042,100.473,-1.4821,-1.4819,-1.4844,101.553,27.3732,27.3745,58197.2,9.3266,283.614,8.40835,0.0169,0.2859,-74.9,175.5,25.9348,22:26:06,14,0.595,0.048,0.0005,0.0002,0.0005,0.049,0.000494,0.000243,0.6,0.0088,0.267,0.00012,0.0013,0.091,1e-05,1e-05,6.8881e-06
Jan-25-2023 22:26:13,11,Jan,25,2023,34.3832,34.3848,20467,852.75,99.947,-1.4837,-1.4824,-1.486,101.021,27.3714,27.3737,58197.5,9.3105,283.122,8.40874,0.0177,0.2357,-74.9,175.5,25.9349,22:26:13,14,0.595,0.048,0.0005,0.0004,0.0005,0.048,0.000458,0.000356,0.599,0.0071,0.217,0.00012,0.003,0.083,0,1e-05,6.8217e-06
Jan-25-2023 22:26:21,12,Jan,25,2023,34.3827,34.3843,20650,860.375,100.536,-1.4857,-1.485,-1.488,101.615,27.3697,27.3714,58198.8,9.3233,283.514,8.40921,0.0184,0.1801,-74.9,175.5,25.935,22:26:21,14,0.595,0.104,0.0006,0.0006,0.0006,0.106,0.00053,0.000551,0.648,0.0066,0.2,0.00015,0.0038,0.1174,0,1e-05,6.899e-06
Jan-25-2023 22:27:58,13,Jan,25,2023,34.3184,34.3205,22974,957.208,49.759,-1.6554,-1.6554,-1.6565,50.287,27.1585,27.16,58169.8,9.8309,298.961,8.45218,0.2114,4.736,-74.9,175.5,25.9361,22:27:58,14,0.595,0.056,0.0004,0.0002,0.0004,0.056,0.000758,0.000477,1.013,0.0068,0.208,0.00012,0.0204,0.386,0,1e-05,6.877e-06
Jan-25-2023 22:28:05,14,Jan,25,2023,34.3183,34.3201,23141,964.167,50.387,-1.6564,-1.6563,-1.6575,50.922,27.1579,27.1593,58170.9,9.821,298.66,8.45242,0.2060,4.8573,-74.9,175.5,25.9362,22:28:05,14,0.595,0.043,0.0001,0.0002,0.0001,0.043,0.000149,0.000167,0.464,0.0063,0.192,2e-05,0.0117,0.6655,0,0,6.91e-06
